CRediT Taxonomy Category,Description,Daniel J. Naumenko,Rebecca S.A. Brittain,Caitlin A. O'Connell,Timothy D. Bransford,Sri Suci Utami Atmoko,Erin R.  Vogel
Conceptualization,Ideas; formulation or evolution of overarching research goals and aims.,Yes,No,No,No,No,No
Data Curation,"Management activities to annotate (produce metadata), scrub data and maintain research data (including software code, where it is necessary for interpreting the data itself) for initial use and later re-use.",Yes,Yes,No,Yes,No,No
Formal Analysis,"Application of statistical, mathematical, computational, or other formal techniques to analyze or synthesize study data.",Yes,No,No,No,No,No
Funding Acquisition,Acquisition of the financial support for the project leading to this publication.,Yes,No,No,No,,Yes
Investigation,"Conducting a research and investigation process, specifically performing the experiments, or data/evidence collection.",Yes,Yes,Yes,Yes,No,Yes
Methodology,Development or design of methodology; creation of models.,Yes,No,No,No,No,No
Project Administration,Management and coordination responsibility for the research activity planning and execution.,Yes,,No,,Yes,Yes
Resources,"Provision of study materials, reagents, materials, patients, laboratory samples, animals, instrumentation, computing resources, or other analysis tools.",No,No,No,No,No,Yes
Software,"Programming, software development; designing computer programs; implementation of the computer code and supporting algorithms; testing of existing code components.",N/A,N/A,N/A,N/A,N/A,N/A
Supervision,"Oversight and leadership responsibility for the research activity planning and execution, including mentorship external to the core team.",Yes,,,,Yes,Yes
Validation,"Verification, whether as a part of the activity or separate, of the overall replication/reproducibility of results/experiments and other research outputs.",Yes,No,No,No,No,Yes
Visualization,"Preparation, creation and/or presentation of the published work, specifically visualization/data presentation.",Yes,,,,,
Writing - Original Draft,"Preparation, creation and/or presentation of the published work, specifically writing the initial draft (including substantive translation).",Yes,,,,,
Writing - Review and Editing,"Preparation, creation and/or presentation of the published work by those from the original research group, specifically critical review, commentary or revision, including pre- or post-publication stages.",,,,,,
